county,pct_latino,pct_white,2014.00,R_sen_14,d_sen_14,totvote14,d_margin_14,2018.00,r_sen_18,d_sen_18,totvote18,d_margin_18,d_mar_chg,vote_grow1418,d_grow1418
Anderson,0.1780,0.5910,2014.00,7781.00,2015.00,9796.00,-5766.00,2018.00,11315.00,3287.00,14602.00,-8028.00,-2262.00,0.4906,0.3923
Andrews,0.5620,0.4020,2014.00,1938.00,178.00,2116.00,-1760.00,2018.00,3338.00,776.00,4114.00,-2562.00,-802.00,0.9442,0.4557
Angelina,0.2220,0.6070,2014.00,12866.00,3414.00,16280.00,-9452.00,2018.00,19153.00,7123.00,26276.00,-12030.00,-2578.00,0.6140,0.2727
Aransas,0.2770,0.6720,2014.00,4506.00,1164.00,5670.00,-3342.00,2018.00,6648.00,2229.00,8877.00,-4419.00,-1077.00,0.5656,0.3223
Archer,0.0870,0.8800,2014.00,2185.00,250.00,2435.00,-1935.00,2018.00,3208.00,376.00,3584.00,-2832.00,-897.00,0.4719,0.4636
Armstrong,0.0750,0.8960,2014.00,497.00,44.00,541.00,-453.00,2018.00,819.00,74.00,893.00,-745.00,-292.00,0.6506,0.6446
Atascosa,0.6450,0.3340,2014.00,4805.00,2100.00,6905.00,-2705.00,2018.00,7737.00,4325.00,12062.00,-3412.00,-707.00,0.7469,0.2614
Austin,0.6200,0.2710,2014.00,5919.00,995.00,6914.00,-4924.00,2018.00,8702.00,2237.00,10939.00,-6465.00,-1541.00,0.5822,0.3130
Bailey,0.6430,0.3290,2014.00,851.00,115.00,966.00,-736.00,2018.00,1202.00,405.00,1607.00,-797.00,-61.00,0.6636,0.0829
Bandera,0.1880,0.7780,2014.00,4992.00,920.00,5912.00,-4072.00,2018.00,7643.00,1865.00,9508.00,-5778.00,-1706.00,0.6083,0.4190
Bastrop,0.3780,0.5260,2014.00,10016.00,5567.00,15583.00,-4449.00,2018.00,15049.00,12066.00,27115.00,-2983.00,1466.00,0.7400,-0.3295
Baylor,0.1320,0.8200,2014.00,688.00,107.00,795.00,-581.00,2018.00,1070.00,156.00,1226.00,-914.00,-333.00,0.5421,0.5731
Bee,0.5910,0.3120,2014.00,2980.00,1826.00,4806.00,-1154.00,2018.00,4341.00,2809.00,7150.00,-1532.00,-378.00,0.4877,0.3276
